"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,1917
0.1,1545
0.11,1127
0.12,514
0.13,474
0.14,388
0.15,384
0.16,252
0.17,41
0.18,5
0.19,5
0.2,5
0.21,5
0.22,5
0.23,5
0.24,5
0.25,5
0.26,5
0.27,5
0.28,5
0.29,5
0.3,5
0.31,5
0.32,5
0.33,5
0.34,5
0.35,5
0.36,5
0.37,5
0.38,5
0.39,5
0.4,5
0.41,5
0.42,5
0.43,5
0.44,5
0.45,5
0.46,5
0.47,5
0.48,5
0.49,5
0.5,5
0.51,5
0.52,5
0.53,5
0.54,5
0.55,5
0.56,5
0.57,5
0.58,5
0.59,5
0.6,5
0.61,5
0.62,5
0.63,5
0.64,5
0.65,5
0.66,5
0.67,5
0.68,5
0.69,5
0.7,5
0.71,5
0.72,5
0.73,5
0.74,5
0.75,5
0.76,5
0.77,5
0.78,5
0.79,5
0.8,5
0.81,5
0.82,5
0.83,5
0.84,5
0.85,5
0.86,5
0.87,5
0.88,5
0.89,5
0.9,5
0.91,5
0.92,5
0.93,5
0.94,5
0.95,5
0.96,5
0.97,5
0.98,5
0.99,5
1.0,5
